workload,D,variant,linksTraversed,edgeAllocations,edgeLinks,edgeUnlinks,edgeMoves,callbackDependencyReads,stableEdgesEligible,stableEdgesRetained,dependencyDelta,physicalMutations,totalAmplification,mutationAmplification,mean,median,p75,p95,p99,variance,rme95Percent,opsPerSecond,batchIterations,wallTimeMs
replacement,31,before,1180,31,31,31,0,32,1,1,62,62,19.714285714285715,0.9841269841269841,1996.5478515624995,2026.4038085937505,2051.992797851558,2097.771606445311,2132.7476806640634,6594.289444386819,2.2526096820024764,500864.52935119957,16384,490.6715999999999
replacement,31,after,219,31,31,31,0,32,1,1,62,62,4.4603174603174605,0.9841269841269841,827.9715983072921,820.7763671875014,842.651367187499,872.7294921875003,881.1035156250005,733.0902339447258,1.811110483347098,1207770.8970264238,16384,203.48230000000012
replacement,32,before,163,32,32,32,0,33,1,1,64,64,3.4923076923076923,0.9846153846153847,862.9162597656245,867.0257568359347,891.8273925781258,923.8647460937491,925.2661132812499,1914.6709833294594,2.808407294679312,1158861.000338096,32768,424.1405999999998
replacement,32,after,226,32,32,32,0,33,1,1,64,64,4.461538461538462,0.9846153846153847,865.0935872395833,846.3989257812502,882.5073242187484,927.7319335937506,942.1625976562498,1362.1226430293868,2.3627984675176488,1155944.298686675,32768,425.2108
replacement,33,before,167,33,33,33,0,34,1,1,66,66,3.4776119402985075,0.9850746268656716,879.6144612630214,873.6511230468761,905.9188842773444,916.8392944335912,924.8424682617162,832.6718589911665,1.81688002385166,1136861.7093494795,32768,432.3481000000004
replacement,33,after,233,33,33,33,0,34,1,1,66,66,4.462686567164179,0.9850746268656716,889.8030598958343,880.859375000001,919.3801879882812,951.6873168945357,960.254455566407,1488.5739418899952,2.4014468453079654,1123844.1910022944,32768,437.3560000000004
replacement,64,before,291,64,64,64,0,65,1,1,128,128,3.248062015503876,0.9922480620155039,1559.1442871093764,1551.1108398437514,1587.4176025390627,1676.004638671874,1706.26049804688,4580.80792639938,2.404176791015551,641377.4583069414,16384,383.17530000000033
replacement,64,after,450,64,64,64,0,65,1,1,128,128,4.48062015503876,0.9922480620155039,1663.8806152343743,1616.8090820312466,1708.233642578126,1789.820556640628,1800.0881347656248,5372.0425026758985,2.4396595464178445,601004.6579328289,16384,408.91529999999983
replacement,256,before,1059,256,256,256,0,257,1,1,512,512,3.0623781676413255,0.9980506822612085,6051.1767578125,6060.3027343749945,6189.599609374998,6336.469726562504,6360.067382812509,47216.379914965655,1.9887865363514126,165257.11279362792,4096,371.7842999999999
replacement,256,after,1794,256,256,256,0,257,1,1,512,512,4.495126705653021,0.9980506822612085,7129.409179687504,7129.687500000009,7376.220703124991,7581.662597656269,7584.848144531246,121086.94330283588,2.7031913188111707,140264.0772603028,4096,438.0309000000002
